,transaction_id,transaction_datetime,customer_id,product_id,product_lvl1,product_lvl2,product_lvl3,product_lvl4,brand,price,description,rating,num_sold,quantity,unit_price,total_amount,payment_id,promotion_id,transaction_status,transaction_type,store_id
0,2271.0,2020-02-13 20:48:32,1342,76,Máy giặt và Máy sấy,Máy sấy,Máy sấy Electrolux,Máy sấy Electrolux EDP-2074PDW,Electrolux,6990000,Máy sấy Electrolux EDP-2074PDW - Sấy khô nhanh chóng và hiệu quả.,4.7,1463,8,6990000,55920000,1463.0,2488.0,Đang xử lý,Thanh toán trực tuyến,8276
1,1522.0,2022-03-05 00:11:00,936,114,Siêu thị đồ ăn,Thực phẩm đóng hộp,Sữa,Sữa đặc hộp,Nestle,25000,Sữa đặc hộp Nestle - Thơm ngon và bổ dưỡng.,2.3,218,2,25000,50000,1011.0,1660.0,Đã giao hàng,Mua hàng,8091
2,3440.0,2022-05-21 01:29:02,1976,14,Siêu thị đồ ăn,Thực phẩm đóng gói,Chips,Chips khoai tây,Crispy Crunch,18000,Chips khoai tây Crispy Crunch - Ăn vặt thú vị và hấp dẫn.,4.9,1230,0,18000,0,2135.0,3754.0,Thành công,Thanh toán trực tuyến,8696
3,12004.0,2021-10-30 13:53:11,6831,57,Sách,Sách tiểu thuyết,Tiểu thuyết khoa học viễn tưởng,Thế Giới Mới,Hội Nhà Văn,109000,Tiểu thuyết khoa học viễn tưởng 'Thế Giới Mới' - Cuốn sách gây cấn và đầy bất ngờ.,,721,1,109000,109000,7429.0,,Đang xử lý,Thẻ tín dụng,8789
4,13568.0,2022-08-25 21:01:18,7780,117,Đèn trang trí và Chiếu sáng,Đèn bàn,Đèn bàn đọc sách,Đèn bàn đọc sách LED,Philips,599000,Đèn bàn đọc sách LED Philips - Ánh sáng dịu nhẹ cho việc đọc sách.,4.7,1197,2,599000,1198000,8468.0,14803.0,Đã hủy,Mua hàng,8318
5,8997.0,2022-12-14 04:48:37,5108,91,Làm đẹp và Chăm sóc cá nhân,Son môi,Son môi đỏ,Son môi đỏ Mac,MAC,329000,Son môi đỏ Mac - Màu sắc tươi tắn và lâu trôi.,4.8,1942,3,329000,987000,5582.0,9825.0,Đã giao hàng,Thẻ ghi nợ,8267
6,15610.0,2020-08-18 13:54:05,8940,120,Tiêu dùng nhanh,Đồ ăn nhẹ,Bánh quy,Bánh quy socola,Sweet Treats,15000,Bánh quy socola Sweet Treats - Ăn vặt ngọt ngào và thơm ngon.,4.9,761,16,15000,240000,9741.0,17041.0,Đã xác nhận,Mua hàng,8243
7,11700.0,2014-01-15 13:09:11,6659,28,Rau củ,Rau,Cà rốt,Cà rốt sạch,Local Farms,15000,Cà rốt sạch Local Farms - Tươi ngon và giàu vitamin A.,4.8,135,10,15000,150000,7248.0,12766.0,Đã giao hàng,Mua hàng,8925
8,,,5513,66,Thể thao và Dã ngoại,Xe đạp,Xe đạp địa hình,Xe đạp địa hình MTB Giant,Giant,17990000,Xe đạp địa hình MTB Giant - Trải nghiệm thú vị trên mọi địa hình.,5.0,188,1,17990000,17990000,6022.0,10616.0,Đã tiếp nhận,Mua hàng,8459
9,6743.0,2022-02-28 04:47:00,3840,73,Thời trang Nam/Nữ,Quần jeans,Quần jeans skinny,Quần jeans skinny nam,Levi's,899000,Quần jeans skinny Levi's - Phong cách hiện đại và thời trang.,4.5,1041,0,899000,0,4152.0,,Đã tiếp nhận,Mua hàng,8350
10,1655.0,2022-12-09 05:39:25,1002,95,Đồ ăn,Thực phẩm đông lạnh,Hải sản,Tôm sú,Fresh Seafood,100000,Tôm sú Fresh Seafood - Tươi ngon và thơm ngon.,4.9,18,2,100000,200000,1079.0,1804.0,Đã hoàn trả,Hoàn tiền,8304
11,5187.0,2022-04-25 17:11:02,3017,101,Siêu thị,Thực phẩm đóng hộp,Nước mắm,Nước mắm Phú Quốc,Phu Quoc Fish Sauce,45000,Nước mắm Phú Quốc - Hương vị đặc trưng và thơm ngon.,4.6,205,0,45000,0,3275.0,5657.0,Đã giao hàng,Thanh toán,8915
12,12579.0,2022-05-03 03:19:30,7182,89,Máy giặt và Máy sấy,Máy giặt,Máy giặt cửa trước,Máy giặt cửa trước LG,LG,8990000,Máy giặt cửa trước LG - Giặt sạch và tiết kiệm năng lượng.,4.8,1076,12,8990000,107880000,7811.0,,Đã tiếp nhận,Hoàn tiền,8762
13,13479.0,2020-05-05 02:38:31,7724,25,Tiêu dùng nhanh,Đồ ăn nhẹ,Kẹo,Kẹo caramen,Candy World,8000,Kẹo caramen Candy World - Vị ngọt dịu dàng và thơm ngon.,5.0,213,2,8000,16000,8406.0,,Đã tiếp nhận,Thẻ ghi nợ,8212
14,5041.0,2022-12-14 19:47:41,2919,132,Thương mại điện tử,Máy nghe nhạc,Tai nghe,Tai nghe không dây AirPods Pro,Apple,4000000,Tai nghe không dây AirPods Pro - Chất lượng âm thanh và chống ồn tốt.,2.7,200,0,4000000,0,3177.0,,Đã tiếp nhận,Thanh toán,8473
15,4237.0,2022-12-14 03:19:18,2421,37,Giày dép và Phụ kiện,Giày cao gót,Giày cao gót nữ,Giày cao gót nữ mũi nhọn,Jimmy Choo,7599000,Giày cao gót nữ mũi nhọn Jimmy Choo - Sự thanh lịch và quyến rũ.,,1738,18,7599000,136782000,2625.0,4622.0,Đã hoàn trả,Thanh toán,8088
16,14857.0,2019-02-20 10:00:21,8501,47,Rau củ,Rau,Bắp cải,Bắp cải xanh,Healthy Greens,22000,Bắp cải xanh Healthy Greens - Tươi ngon và giàu chất chống oxy hóa.,1.7,318,11,22000,242000,9249.0,16200.0,Đã tiếp nhận,Thẻ tín dụng,8256
17,5502.0,2022-12-16 07:28:46,3170,109,Phụ kiện điện thoại,Pin dự phòng,Pin dự phòng 10000mAh,Pin dự phòng 10000mAh Anker,Anker,690000,Pin dự phòng 10000mAh Anker - Sạc nhanh và tiện lợi.,2.8,1291,1,690000,690000,3445.0,6004.0,Thành công,Mua hàng,8244
18,9566.0,2016-03-29 09:20:58,5417,87,Siêu thị,Đồ uống,Bia,Bia Tiger,Tiger Beer,25000,Bia Tiger Tiger Beer - Vị đậm đà và thơm ngon.,,1517,1,25000,25000,5913.0,10440.0,Đã xác nhận,Thanh toán trực tuyến,8124
19,5208.0,2020-12-07 06:19:06,3021,2,Tiêu dùng nhanh,Đồ ăn nhanh,Mỳ tôm,Mỳ tôm hải sản,Instant Noodles,10000,Mỳ tôm hải sản Instant Noodles - Ăn nhanh tiện lợi và thơm ngon.,4.6,290,0,10000,0,3279.0,5678.0,Đã giao hàng,Mua hàng,8271
20,12229.0,2022-06-26 16:32:56,6987,77,Sách,Sách tham khảo,Sách học ngoại ngữ,Tiếng Anh Giao Tiếp,Bách Khoa,68000,Sách học ngoại ngữ 'Tiếng Anh Giao Tiếp' - Giúp nâng cao khả năng giao tiếp tiếng Anh.,4.7,1150,7,68000,476000,7590.0,,Đã giao hàng,Thẻ tín dụng,8746
21,4414.0,2022-03-08 03:12:43,2519,138,Điện thoại di động,Smartphone,Galaxy,Galaxy Z Fold 3,Samsung,29990000,Samsung Galaxy Z Fold 3 256GB - Smartphone gập màn hình cao cấp.,4.9,1582,3,29990000,89970000,2736.0,,Đã giao hàng,Thanh toán,8252
22,13511.0,2021-10-01 16:01:06,7753,107,Đèn trang trí và Chiếu sáng,Bóng đèn LED,Bóng đèn LED RGB,Bóng đèn LED RGB Xiaomi,Xiaomi,199000,Bóng đèn LED RGB Xiaomi - Tùy chỉnh ánh sáng theo ý muốn.,4.6,736,2,199000,398000,8442.0,,Đã hoàn trả,Hoàn tiền,8758
23,2171.0,2022-05-31 11:10:13,1278,5,Siêu thị đồ ăn,Thực phẩm đóng hộp,Nước mắm,Nước mắm Phú Quốc,Phu Quoc Fish Sauce,45000,Nước mắm Phú Quốc - Hương vị đặc trưng và thơm ngon.,,1807,16,45000,720000,1386.0,2373.0,Đang xử lý,Thanh toán,8503
24,12475.0,2020-08-29 20:12:08,7116,115,Đồ ăn,Thực phẩm đóng hộp,Thịt xông khói,Thịt xông khói Gà,Delimondo,65000,Thịt xông khói Gà Delimondo - Hương vị đặc trưng của Philippines.,4.6,1950,2,65000,130000,7738.0,13607.0,Đã giao hàng,Mua hàng,8771
25,2511.0,2022-03-03 05:06:47,1448,98,Siêu thị đồ ăn,Thực phẩm tươi sống,Thịt bò,Thịt bò tươi,Local Meats,90000,Thịt bò tươi Local Meats - Tươi ngon và thơm ngon.,3.7,1133,9,90000,810000,1572.0,,Đã hủy,Mua hàng,8235
26,9555.0,2022-06-16 20:19:11,5411,126,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây da,Đồng hồ nữ dây da Daniel Wellington,Daniel Wellington,2799000,Đồng hồ nữ dây da Daniel Wellington - Phong cách tinh tế và thanh lịch.,2.3,82,14,2799000,39186000,5907.0,,Đã xác nhận,Thẻ ghi nợ,8592
27,12763.0,2022-11-28 01:50:09,7286,8,Túi xách và Ví,Ví nam,Ví nam da bò,Ví nam da bò Montblanc,Montblanc,4999000,Ví nam da bò Montblanc - Phong cách sang trọng và thanh lịch.,4.8,226,5,4999000,24995000,7929.0,,Đã hủy,Thẻ tín dụng,8139
28,17542.0,2022-12-19 15:21:43,9998,87,Siêu thị,Đồ uống,Bia,Bia Tiger,Tiger Beer,25000,Bia Tiger Tiger Beer - Vị đậm đà và thơm ngon.,,1517,2,25000,50000,10942.0,19163.0,Đã từ chối,Thẻ ghi nợ,8217
29,2498.0,2020-03-06 01:59:30,1443,7,Siêu thị,Thực phẩm đóng gói,Gạo,Gạo thơm,Premium Rice,45000,Gạo thơm Premium Rice - Thơm ngon và đậm đà hương vị.,4.9,344,4,45000,180000,1568.0,,Thành công,Thanh toán,8994
30,3981.0,2022-08-12 22:11:16,2287,12,Phụ kiện điện thoại,Ốp lưng điện thoại,Ốp lưng điện thoại iPhone,Ốp lưng điện thoại iPhone Silicone,Apple,490000,Ốp lưng điện thoại iPhone Silicone - Bảo vệ an toàn cho iPhone.,4.7,397,0,490000,0,2477.0,,Đã giao hàng,Mua hàng,8445
