,transaction_id,transaction_datetime,customer_id,product_id,product_lvl1,product_lvl2,product_lvl3,product_lvl4,brand,price,description,rating,num_sold,quantity,unit_price,total_amount,payment_id,promotion_id,transaction_status,transaction_type,store_id
0,0.0,2013-01-01 00:00:00,0,123,Siêu thị,Thực phẩm đông lạnh,Hải sản,Cá basa đông lạnh,Frozen Seafood,80000,Cá basa đông lạnh Frozen Seafood - Tươi ngon và giàu dinh dưỡng.,2.4,1144,0,80000,0,0.0,,Đã tiếp nhận,Hoàn tiền,8366
1,1.0,2020-07-22 20:43:44,1,37,Giày dép và Phụ kiện,Giày cao gót,Giày cao gót nữ,Giày cao gót nữ mũi nhọn,Jimmy Choo,7599000,Giày cao gót nữ mũi nhọn Jimmy Choo - Sự thanh lịch và quyến rũ.,,1738,6,7599000,45594000,1.0,,Đã xác nhận,Thẻ tín dụng,8065
2,2.0,2022-12-16 03:40:11,2,67,Siêu thị,Thực phẩm đóng hộp,Nước mắm,Nước mắm Phú Quốc,Phu Quoc Fish Sauce,45000,Nước mắm Phú Quốc - Hương vị đặc trưng và thơm ngon.,4.6,983,0,45000,0,2.0,,Đã tiếp nhận,Mua hàng,8917
3,3.0,2022-12-16 03:40:11,2,31,Thời trang Nam/Nữ,Đầm,Đầm nữ,Đầm nữ dự tiệc,H&M,790000,Đầm nữ dự tiệc H&M - Nổi bật và quyến rũ trong bất kỳ buổi tiệc nào.,4.6,1419,1,790000,790000,2.0,,Đã hủy,Mua hàng,8596
4,4.0,2022-12-16 03:40:11,2,12,Phụ kiện điện thoại,Ốp lưng điện thoại,Ốp lưng điện thoại iPhone,Ốp lưng điện thoại iPhone Silicone,Apple,490000,Ốp lưng điện thoại iPhone Silicone - Bảo vệ an toàn cho iPhone.,4.7,397,0,490000,0,2.0,,Đã giao hàng,Thẻ ghi nợ,9000
5,5.0,2022-12-16 03:40:11,2,143,Sách,Sách tham khảo,Sách khoa học,Nguyên Lý Cơ Học,Giáo Dục,135000,Sách khoa học 'Nguyên Lý Cơ Học' - Tổng quan về cơ học cơ bản.,4.8,649,2,135000,270000,2.0,5.0,Đã tiếp nhận,Thanh toán,8150
6,6.0,2022-12-16 03:40:11,2,85,Siêu thị đồ ăn,Thực phẩm đông lạnh,Thịt viên,Thịt viên xúc xích,Vietnamese Delights,45000,Thịt viên xúc xích Vietnamese Delights - Ăn liền tiện lợi và ngon miệng.,2.0,234,0,45000,0,2.0,6.0,Đang xử lý,Thanh toán,8874
7,7.0,2022-12-16 03:40:11,2,13,Thể thao và Dã ngoại,Balo leo núi,Balo leo núi phong cách,Balo leo núi The North Face,The North Face,1990000,Balo leo núi The North Face - Đối tác đáng tin cậy trên mỗi cuộc hành trình.,4.8,854,1,1990000,1990000,2.0,7.0,Đã hoàn trả,Mua hàng,8331
8,8.0,2022-12-16 03:40:11,2,144,Máy ảnh và Máy quay phim,Máy quay phim,Máy quay phim 4K,Máy quay phim 4K Panasonic Lumix GH5,Panasonic,27990000,Máy quay phim 4K Panasonic Lumix GH5 - Quay phim chuyên nghiệp.,4.9,1232,4,27990000,111960000,2.0,8.0,Đã xác nhận,Mua hàng,8322
9,9.0,2022-12-16 03:40:11,2,92,Thương mại điện tử,Máy tính bảng,iPad,iPad Pro,Apple,20000000,iPad Pro - Màn hình Retina chất lượng cao và hiệu năng mạnh mẽ.,4.9,1532,10,20000000,200000000,2.0,,Đã giao hàng,Thẻ tín dụng,8178
